Timestamp,Ives Hall Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e3195-c20a1a8e,Stevenson Hall Total Electric Meter Usage / p:sonomastate:r:251810ce-f429b841,Art Building Total CHW BTU Meter Usage / p:sonomastate:r:1f97c82e-d1a92673,Schulz Info Center Total Electric Meter Usage / p:sonomastate:r:1f97c82e-c34c4f2e,Boiler Plant Total Boiler Gas Meter Usage (C) / p:sonomastate:r:234a6e2b-318cf13d,Green Music Center Total Electric Meter Usage (C) / p:sonomastate:r:234ab131-e413ba29,Student Health Center Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e61c5-83f6cf71,Salazar Hall Total Electric Meter Usage Option A (C) / p:sonomastate:r:20c9b2e1-d7263cf1,Green Music Center Total CHW BTU Meter Usage / p:sonomastate:r:1f98265e-39835c84,Stevenson Hall HHW BTU Meter Usage / p:sonomastate:r:267fcb62-ed42e3b3,Physical Education Total Electric Meter Usage (C) / p:sonomastate:r:206db469-c986212b,Nichols Hall Total Electric Meter Usage (C) / p:sonomastate:r:234e40da-635bc7c1,Rachel Carson Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:234aa43b-a73abf5e,Ives Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e3195-7d72fbdc,Green Music Center Total Gas Meter Usage (M) (C) / p:sonomastate:r:234aab84-c656a0e0,Student Center Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e5dff-6fe20abd,Darwin Hall Total Electric Meter (M) Usage / p:sonomastate:r:267e6fd0-93d67a62,Schulz Info Center Total CHW BTU Meter Usage / p:sonomastate:r:1f97c82e-525ca261,Salazar Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:20c9b4d5-5ea6aa0b,Schulz Info Center Total Gas Meter Usage (C) / p:sonomastate:r:206e94b8-3b05cb50,Green Music Center Total Water Meter Usage (C) / p:sonomastate:r:234aa782-f7b1eef2,Student Health Center Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e61c5-021da430,Rachel Carson Hall Total CHW BTU Meter Usage (C) / p:sonomastate:r:234aa121-a983880d,Student Center Total Electric Meter (C) Usage (C) / p:sonomastate:r:20c9aa07-acd1558a,Nichols Hall Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e3ee2-f6fcea18,Wine Spectator Learning Ctr Total Electric Meter Usage (C) / p:sonomastate:r:250ea73e-3b55a6cf,Rachel Carson Hall Total Electric Meter Usage / p:sonomastate:r:1f98265e-cbf77175,Green Music Center Total HW BTU Meter Usage (C) / p:sonomastate:r:234aa956-82d369b2,Salazar Hall Total Electric Meter Usage Option B (C) / p:sonomastate:r:234e4c64-930d1fd6,Art Building Total HHW BTU Meter Usage / p:sonomastate:r:1f97c82e-36e60525,Nichols Hall Total CHW BTU Meter Usage (C) / p:sonomastate:r:234e3ee2-b06b6c8c,Student Center Total HHW BTU Meter Usage (C) / p:sonomastate:r:234e5dff-8d8eb031,ETC Total Electric Meter Usage / p:sonomastate:r:1f97c82e-dd011464,Ives Hall  Total Electric Meter Usage (C) / p:sonomastate:r:206d9425-f3361ab6
2024-11-10T00:00:00-08:00 Los_Angeles,0BTU,"","","","",78.3499984741211kWh,0BTU,"",0BTU,"",15855.7861328125kWh,2.640000104904175kWh,0BTU,58152.654296875BTU,"",5099.59521484375BTU,"","","","","",0BTU,"",0kWh,0BTU,161.56780940294266kWh,"",93.43752861022949_MBTU,"","",0BTU,70016.15625BTU,"",0kWh
2024-11-10T00:15:00-08:00 Los_Angeles,0BTU,"","","","",76.0999984741211kWh,0BTU,"",0BTU,"",16309.5380859375kWh,2.688000202178955kWh,0BTU,56957.029296875BTU,"",2573.186767578125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",75.93749046325684_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T00:30:00-08:00 Los_Angeles,0BTU,"","","","",85.1500015258789kWh,0BTU,"",231460.00390625BTU,"",15129.916015625kWh,2.624000072479248kWh,0BTU,51476.8896484375BTU,"",5163.480712890625BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",73.22915649414062_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T00:45:00-08:00 Los_Angeles,0BTU,"","","","",83.7750015258789kWh,0BTU,"",140329.95703125BTU,"",14511.2431640625kWh,2.56000018119812kWh,0BTU,39269.44140625BTU,"",2673.862060546875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",65.10416793823242_MBTU,"","",0BTU,9777.1162109375BTU,"",0kWh
2024-11-10T01:00:00-08:00 Los_Angeles,0BTU,"","","","",84.6500015258789kWh,0BTU,"",123160.0703125BTU,"",14901.1298828125kWh,2.576000213623047kWh,0BTU,35782.2822265625BTU,"",5410.55810546875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,143.14769732952118kWh,"",68.54165458679199_MBTU,"","",0BTU,45602.685546875BTU,"",0kWh
2024-11-10T01:15:00-08:00 Los_Angeles,0BTU,"","","","",83.75kWh,0BTU,"",119440.1328125BTU,"",15201.25kWh,2.5440001487731934kWh,0BTU,38888.7451171875BTU,"",2742.6767578125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",69.68750953674316_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T01:30:00-08:00 Los_Angeles,0BTU,"","","","",82.07499694824219kWh,0BTU,"",110525.09375BTU,"",15008.41015625kWh,2.576000213623047kWh,0BTU,63072.7822265625BTU,"",5586.29052734375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",79.89584732055664_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T01:45:00-08:00 Los_Angeles,0BTU,"","","","",84.32500457763672kWh,0BTU,"",113805.02734375BTU,"",14038.3466796875kWh,2.5440001487731934kWh,0BTU,50645.0703125BTU,"",2852.791748046875BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",89.27084350585938_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T02:00:00-08:00 Los_Angeles,0BTU,"","","","",84.9000015258789kWh,0BTU,"",71920.03125BTU,"",15472.810546875kWh,2.56000018119812kWh,0BTU,33185.26025390625BTU,"",5774.63427734375BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,124.66163039207458kWh,"",78.54167556762695_MBTU,"","",0BTU,0BTU,"",0kWh
2024-11-10T02:15:00-08:00 Los_Angeles,0BTU,"","","","",77.9000015258789kWh,0BTU,"",0BTU,"",15468.6689453125kWh,2.5440001487731934kWh,0BTU,50681.8076171875BTU,"",2877.177001953125BTU,"","","","","",0BTU,0BTU,0kWh,0BTU,"","",69.79168128967285_MBTU,"","",0BTU,0BTU,"",0kWh
